,Jméno,Titul,Věk,Strana,Navrhující_strana,Politická_příslušnost,Číslo_na_kandidátce,Hlasy_počet,Hlasy_procenta,Pořadí_zvolení_náhradníka,Mandát,Rok_kandidatury
1148,Vojířová Eva Bc.,Bc.,23,Věci veřejné,VV,BEZPP,3,798,2.81,0,0,2010
1149,Volejník Petr,,40,Věci veřejné,VV,BEZPP,33,627,2.21,0,0,2010
1150,Vomáčka Pavel Ing.,Ing.,51,Sdružení Mostečané Mostu,NK,BEZPP,17,9487,2.24,17,1,2010
1151,Vopelková Naděžda Bc.,Bc.,47,Věci veřejné,VV,BEZPP,26,676,2.38,0,0,2010
1152,Vopelková Veronika Bc.,Bc.,23,Věci veřejné,VV,BEZPP,7,714,2.5100000000000002,0,0,2010
1153,Vozka Vlastimil Ing.,Ing.,56,Sdružení Mostečané Mostu,NK,BEZPP,1,10619,2.5100000000000002,2,1,2010
1154,Vrzal Pavel Ing.,Ing.,36,"""Občané městu, město občanům""",OMMO,BEZPP,3,468,2.7600000000000002,0,0,2010
1155,Vykouk Jiří,,61,Sdružení Mostečané Mostu,NK,BEZPP,7,9520,2.25,7,1,2010
1156,Wagner Vladimír Ing.,Ing.,26,Česká str.sociálně demokrat.,ČSSD,ČSSD,25,2348,2.21,19,0,2010
1157,Wanie Rudolf,,75,Česká str.sociálně demokrat.,ČSSD,ČSSD,41,2136,2.0100000000000002,35,0,2010
1158,Watzlová Dagmar,,57,Česká str.sociálně demokrat.,ČSSD,ČSSD,40,2162,2.0300000000000002,34,0,2010
1159,Weiss Pavel Mgr.,Mgr.,61,OK-Občanský Kontext,NK,BEZPP,1,1146,5.7,0,0,2010
1160,Winterová Jana,,46,Česká str.sociálně demokrat.,ČSSD,ČSSD,24,2326,2.19,18,0,2010
1161,Woznica Stanislav Ing.,Ing.,41,OK-Občanský Kontext,NK,BEZPP,13,439,2.18,0,0,2010
1162,Zabloudilová Mária,,62,Komunistická str.Čech a Moravy,KSČM,KSČM,44,1596,1.94,39,0,2010
1163,Zahradník Tomáš,,29,Věci veřejné,VV,BEZPP,35,610,2.15,0,0,2010
1164,Zajíc Petr,,30,"""Občané městu, město občanům""",OMMO,BEZPP,29,389,2.29,0,0,2010
1165,Zalková Jana Bc.,Bc.,41,Věci veřejné,VV,BEZPP,16,677,2.38,0,0,2010
1166,Zaťko Antonín,,40,Komunistická str.Čech a Moravy,KSČM,KSČM,23,1770,2.15,18,0,2010
1167,Zelenka Jiří Ing.,Ing.,54,Sdružení Mostečané Mostu,S.cz,S.cz,45,8239,1.94,19,0,2010
1168,Zocherová Květuše,,71,"""Občané městu, město občanům""",OMMO,BEZPP,44,322,1.8900000000000001,0,0,2010
1169,Zwoliński Josef,,42,Věci veřejné,VV,BEZPP,24,680,2.39,0,0,2010
1170,Žigrai František,,38,Dělnic.str.sociální spravedl.,DSSS,DSSS,1,533,2.81,0,0,2010
1171,Žigraiová Soňa,,35,Dělnic.str.sociální spravedl.,DSSS,BEZPP,42,373,1.97,0,0,2010
1172,Žižka Jiří,,72,Občanská demokratická strana,ODS,ODS,43,1785,1.84,37,0,2010
1173,Žofka Jaroslav MUDr.,MUDr.,65,Občanská demokratická strana,ODS,ODS,15,2319,2.39,12,0,2010
1174,Adamcová Veronika,,48,Toryové,TOR,BEZPP,33,193,1.98,0,0,2014
1175,Agh Alexandr,,52,ANO 2011,ANO,ANO,23,1870,2.2800000000000002,17,0,2014
1176,Anderle Miloslav,,54,Sdružení Mostečané Mostu,NK,BEZPP,35,2858,2.17,25,0,2014
1177,Andrea Lukáš DiS.,DiS.,32,Česká str.sociálně demokrat.,ČSSD,ČSSD,17,1070,2.16,14,0,2014
1178,Andreaová Jaroslava Alexandra JUDr.,JUDr.,62,Česká str.sociálně demokrat.,ČSSD,ČSSD,40,973,1.97,37,0,2014
1179,Antoš Roman,,51,Sdružení Mostečané Mostu,NK,S.cz,16,2941,2.24,6,0,2014
1180,Aulická Jírovcová Hana Ing.,Ing.,33,Komunistická str.Čech a Moravy,KSČM,KSČM,1,2041,2.75,1,1,2014
1181,Aulický Václav,,69,Komunistická str.Čech a Moravy,KSČM,BEZPP,41,1509,2.0300000000000002,36,0,2014
1182,Babák Jindřich,,60,Komunistická str.Čech a Moravy,KSČM,KSČM,15,1706,2.3000000000000003,10,0,2014
1183,Balášová Vendulka Ing.,Ing.,50,ANO 2011,ANO,BEZPP,1,2085,2.5500000000000003,3,1,2014
1184,Balážová Simona,,29,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,28,415,2.12,0,0,2014
1185,Balín Jaroslav,,67,Komunistická str.Čech a Moravy,KSČM,KSČM,30,1631,2.19,25,0,2014
1186,Balín Roman,,33,"""OMMO - hlas pro občana""",OMMO,BEZPP,23,186,2.37,0,0,2014
1187,Balín Vlastimil RSDr.,RSDr.,63,"""OMMO - hlas pro občana""",OMMO,OMMO,17,241,3.08,0,0,2014
1188,Balínová Petra,,33,"""OMMO - hlas pro občana""",OMMO,BEZPP,39,153,1.95,0,0,2014
1189,Balochová Hana Bc.,Bc.,26,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,8,469,2.39,0,0,2014
1190,Bambula Václav,,63,"SZ, NK za Most",Zelení,BEZPP,37,532,1.95,0,0,2014
1191,Bartáková Jiřina,,52,DSSS-volím budouc.našich dětí,DSSS,DSSS,1,421,3.0700000000000003,0,0,2014
1192,Bartáková Jiřina Bc.,Bc.,35,DSSS-volím budouc.našich dětí,DSSS,BEZPP,17,317,2.31,0,0,2014
1193,Bartlová Olga,,44,ANO 2011,ANO,BEZPP,13,1898,2.32,7,0,2014
1194,Bartošová Lenka,,46,DSSS-volím budouc.našich dětí,DSSS,BEZPP,41,279,2.0300000000000002,0,0,2014
1195,Baudyšová Jana,,27,Toryové,TOR,BEZPP,19,183,1.8800000000000001,0,0,2014
1196,Bažant Martin Mgr.,Mgr.,38,"SZ, NK za Most",Zelení,Zelení,8,686,2.5100000000000002,0,0,2014
1197,Bednařík Lukáš Ing.,Ing.,35,Severočeši Most,NK,BEZPP,26,5035,2.2,8,0,2014
1198,Bechyňský Jan,,23,Koalice TOP09 a KDU-ČSL,KDU-ČSL,BEZPP,38,345,1.96,0,0,2014
1199,Bejšovcová Ingrid Ing.,Ing.,58,Sdružení Mostečané Mostu,NK,BEZPP,40,2803,2.13,30,0,2014
1200,Belej Milan,,44,Komunistická str.Čech a Moravy,KSČM,KSČM,5,1754,2.36,5,1,2014
1201,Belej Radek,,39,Komunistická str.Čech a Moravy,KSČM,KSČM,3,1825,2.46,2,1,2014
1202,Benda Pavel,,22,Koalice TOP09 a KDU-ČSL,TOP 09,BEZPP,37,368,2.09,0,0,2014
1203,Bendová Jaroslava Mgr. Bc.,Mgr.,61,Občanská demokratická strana,ODS,ODS,8,817,2.15,8,0,2014
1204,Beneš Milan Ing.,Ing.,28,Česká str.sociálně demokrat.,ČSSD,ČSSD,14,1100,2.22,11,0,2014
1205,Beránek Petr Ing.,Ing.,43,ANO 2011,ANO,BEZPP,35,1742,2.13,29,0,2014
1206,Beránek Stanislav,,32,"SZ, NK za Most",Zelení,Zelení,15,583,2.14,0,0,2014
1207,Beránková Anna Ing.,Ing.,68,Sdružení Mostečané Mostu,NK,BEZPP,33,2864,2.18,23,0,2014
1208,Beranová Anna,,71,Sdružení Mostečané Mostu,NK,BEZPP,44,2413,1.83,34,0,2014
1209,Berger František,,54,Sdružení Mostečané Mostu,NK,BEZPP,20,2961,2.25,10,0,2014
1210,Berka Jiří Mgr. et Bc.,Bc.,61,"SZ, NK za Most",NK,BEZPP,20,640,2.34,0,0,2014
1211,Bernas Petr Ing.,Ing.,30,Občanská demokratická strana,ODS,BEZPP,33,757,1.99,30,0,2014
1212,Bicanová Monika Bc.,Bc.,24,Toryové,TOR,BEZPP,29,201,2.06,0,0,2014
1213,Bienebergová Marcela,,44,"DSZ, NK-sdružení DSZaNK",DSZ,BEZPP,1,123,26.68,0,0,2014
1214,Bláha Bedřich,,45,"""OMMO - hlas pro občana""",OMMO,BEZPP,35,152,1.94,0,0,2014
1215,Bláha Tomáš,,25,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,5,458,2.34,0,0,2014
1216,Blažková Jitka Mgr.,Mgr.,56,"SZ, NK za Most",NK,BEZPP,25,623,2.2800000000000002,0,0,2014
1217,Bodláková Olga,,41,Koalice TOP09 a KDU-ČSL,TOP 09,BEZPP,19,405,2.3000000000000003,0,0,2014
1218,Bodnár Dušan Ing.,Ing.,45,"SZ, NK za Most",Zelení,Zelení,13,617,2.2600000000000002,0,0,2014
1219,Bohuslav Jan,,40,Severočeši Most,NK,BEZPP,41,4721,2.06,23,0,2014
1220,Brabec Miroslav,,66,Sdružení Mostečané Mostu,NK,BEZPP,24,2883,2.19,14,0,2014
1221,Brabec Pavel Bc.,Bc.,30,Česká str.sociálně demokrat.,ČSSD,ČSSD,38,1006,2.0300000000000002,35,0,2014
1222,Brabec Petr,,58,"""OMMO - hlas pro občana""",OMMO,BEZPP,40,147,1.8800000000000001,0,0,2014
1223,Brabec Zdeněk,,57,Česká str.sociálně demokrat.,ČSSD,ČSSD,3,1324,2.68,3,1,2014
1224,Brandnerová Michaela,,21,"""OMMO - hlas pro občana""",OMMO,BEZPP,25,183,2.34,0,0,2014
1225,Breckl Ervín,,57,Sdružení Mostečané Mostu,NK,BEZPP,19,2924,2.22,9,0,2014
1226,Brhelová Dana,,50,"DSZ, NK-sdružení DSZaNK",NK,BEZPP,2,119,25.810000000000002,0,0,2014
1227,Brhelová Natálie,,18,"DSZ, NK-sdružení DSZaNK",NK,BEZPP,4,107,23.21,0,0,2014
1228,Brisuda Jiří,,63,Česká str.sociálně demokrat.,ČSSD,ČSSD,29,1029,2.08,26,0,2014
1229,Brožík Jaromír Mgr.,Mgr.,66,ANO 2011,ANO,BEZPP,24,1813,2.21,18,0,2014
1230,Brůnová Marcela,,73,Koalice TOP09 a KDU-ČSL,KDU-ČSL,BEZPP,44,291,1.6500000000000001,0,0,2014
1231,Brynda Dalibor Ing.,Ing.,83,Česká str.sociálně demokrat.,ČSSD,ČSSD,36,1032,2.09,33,0,2014
1232,Budeníková Jiřina,,64,Komunistická str.Čech a Moravy,KSČM,KSČM,43,1462,1.97,38,0,2014
1233,Buneš Jiří,,57,Severočeši Most,NK,BEZPP,43,4552,1.99,25,0,2014
1234,Bureš Jiří Ing.,Ing.,44,Koalice TOP09 a KDU-ČSL,TOP 09,BEZPP,2,539,3.06,0,0,2014
1235,Burešová Sabina,,22,Koalice TOP09 a KDU-ČSL,TOP 09,BEZPP,39,348,1.98,0,0,2014
1236,Buriánek Miroslav,,48,Občanská demokratická strana,ODS,BEZPP,30,773,2.0300000000000002,27,0,2014
1237,Buriánková Barbora,,39,Občanská demokratická strana,ODS,BEZPP,43,683,1.8,40,0,2014
1238,Bušo Martin,,25,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,11,433,2.21,0,0,2014
1239,Bůžková Denisa,,30,Toryové,TOR,BEZPP,18,183,1.8800000000000001,0,0,2014
1240,Cafourek Martin,,41,DSSS-volím budouc.našich dětí,DSSS,BEZPP,27,293,2.14,0,0,2014
1241,Cakl Oldřich Ing.,Ing.,69,Komunistická str.Čech a Moravy,KSČM,BEZPP,32,1609,2.17,27,0,2014
1242,Cejnar Alois Ing.,Ing.,61,Komunistická str.Čech a Moravy,KSČM,KSČM,24,1657,2.23,19,0,2014
1243,Cichý Petr,,52,Severočeši Most,NK,BEZPP,29,4947,2.16,11,0,2014
1244,Cina Jan,,28,Mostečané Mostu,NK,BEZPP,28,36,25.89,0,0,2014
1245,Cink Jiří,,40,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,41,376,1.92,0,0,2014
1246,Coufal Jan,,19,Koalice TOP09 a KDU-ČSL,TOP 09,BEZPP,40,341,1.94,0,0,2014
1247,Cwierzová Jitka Mgr.,Mgr.,53,ANO 2011,ANO,BEZPP,30,1834,2.24,24,0,2014
1248,Čapek David,,31,Koalice TOP09 a KDU-ČSL,TOP 09,BEZPP,32,369,2.1,0,0,2014
1249,Čapková Irena Ing.,Ing.,56,Sdružení Mostečané Mostu,NS,S.cz,2,3144,2.39,3,1,2014
1250,Částková Jitka Ing.,Ing.,40,"SZ, NK za Most",Zelení,BEZPP,38,543,1.99,0,0,2014
1251,Černá Marcela Mgr.,Mgr.,41,Komunistická str.Čech a Moravy,KSČM,BEZPP,9,1766,2.38,4,0,2014
1252,Černík Vladimír,,53,Česká str.sociálně demokrat.,ČSSD,ČSSD,13,1100,2.22,10,0,2014
1253,Čihula Petr Ing.,Ing.,44,Koalice TOP09 a KDU-ČSL,TOP 09,BEZPP,8,473,2.69,0,0,2014
1254,Dalecká Alena MUDr.,MUDr.,59,Toryové,TOR,BEZPP,10,369,3.79,0,0,2014
1255,Dalecký Roman Ing.,Ing.,29,Toryové,TOR,BEZPP,2,403,4.14,0,0,2014
1256,Dalecký Roman Ing.,Ing.,56,Toryové,TOR,BEZPP,40,207,2.12,0,0,2014
1257,Dernerová Alena MUDr.,MUDr.,56,Severočeši Most,NK,BEZPP,3,6267,2.74,1,1,2014
1258,Diviš Luděk Ing.,Ing.,46,Toryové,TOR,BEZPP,3,294,3.02,0,0,2014
1259,Dlouhá Jitka,,33,"SZ, NK za Most",Zelení,BEZPP,27,559,2.05,0,0,2014
1260,Dobiáš Ladislav,,38,Občanská demokratická strana,ODS,BEZPP,40,720,1.8900000000000001,37,0,2014
1261,Dolanský Jiří Mgr.,Mgr.,25,"""OMMO - hlas pro občana""",OMMO,BEZPP,21,178,2.27,0,0,2014
1262,Doležalová Kristina,,26,Komunistická str.Čech a Moravy,KSČM,KSČM,28,1626,2.19,23,0,2014
1263,Doležalová Petra Ing.,Ing.,28,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,16,427,2.18,0,0,2014
1264,Drexler Zdeněk Bc.,Bc.,34,"""OMMO - hlas pro občana""",OMMO,BEZPP,5,241,3.08,0,0,2014
1265,Drtík Daniel MUDr.,MUDr.,43,Občanská demokratická strana,ODS,ODS,7,1229,3.24,2,1,2014
1266,Dundrová Irena,,40,"SZ, NK za Most",NK,BEZPP,14,595,2.18,0,0,2014
1267,Dunovský Daniel Bc.,Bc.,40,Severočeši Most,NK,BEZPP,10,5097,2.22,10,1,2014
1268,Dvorščáková Jitka,,36,Toryové,TOR,BEZPP,28,184,1.8900000000000001,0,0,2014
1269,Dvořák Zdeněk,,46,"""OMMO - hlas pro občana""",OMMO,BEZPP,28,166,2.12,0,0,2014
1270,Erlitzová Alena,,57,Sdružení Mostečané Mostu,NK,BEZPP,14,2982,2.27,4,0,2014
1271,Fabian Alois,,53,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,10,466,2.38,0,0,2014
1272,Fadrhons Petr Mgr.,Mgr.,42,Koalice TOP09 a KDU-ČSL,KDU-ČSL,KDU-ČSL,27,413,2.35,0,0,2014
1273,Faltys Zdeněk Ing.,Ing.,53,Toryové,TOR,BEZPP,24,226,2.32,0,0,2014
1274,Farský Josef,,44,Toryové,TOR,BEZPP,22,235,2.41,0,0,2014
1275,Farský Miloš,,37,Toryové,TOR,BEZPP,34,184,1.8900000000000001,0,0,2014
1276,Fekete Pavel Bc.,Bc.,38,"""OMMO - hlas pro občana""",OMMO,BEZPP,9,235,3.0,0,0,2014
1277,Fekete Tibor,,25,Česká str.sociálně demokrat.,ČSSD,ČSSD,42,941,1.9000000000000001,39,0,2014
1278,Feketová Iveta,,48,Česká str.sociálně demokrat.,ČSSD,ČSSD,11,1114,2.25,8,0,2014
1279,Fencl Miroslav,,52,Sdružení Mostečané Mostu,NS,S.cz,5,3025,2.3000000000000003,5,1,2014
1280,Fiedler Petr,,70,Komunistická str.Čech a Moravy,KSČM,BEZPP,40,1534,2.06,35,0,2014
1281,Fischerová Jana,,22,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,43,363,1.85,0,0,2014
1282,Formánek Petr,,34,Severočeši Most,NK,BEZPP,18,5078,2.22,18,1,2014
1283,Franz Milan,,48,DSSS-volím budouc.našich dětí,DSSS,DSSS,8,318,2.32,0,0,2014
1284,Friček Jaroslav,,37,DSSS-volím budouc.našich dětí,DSSS,BEZPP,34,292,2.13,0,0,2014
1285,Friček Miloslav,,58,Občanská demokratická strana,ODS,ODS,38,725,1.9100000000000001,35,0,2014
1286,Fröhlich Petr Bc.,Bc.,38,"""OMMO - hlas pro občana""",OMMO,BEZPP,14,173,2.21,0,0,2014
1287,Fryčová Emilie,,81,Severočeši Most,NK,BEZPP,35,4888,2.13,17,0,2014
1288,Frýdová Michaela Bc.,Bc.,31,Občanská demokratická strana,ODS,ODS,37,744,1.96,34,0,2014
1289,Ganobčíková Romana,,47,DSSS-volím budouc.našich dětí,DSSS,BEZPP,23,288,2.1,0,0,2014
1290,Giampaoli Karel Ing.,Ing.,41,Česká str.sociálně demokrat.,ČSSD,ČSSD,4,1497,3.0300000000000002,2,1,2014
1291,Gollová Filomena,,77,"SZ, NK za Most",Zelení,Zelení,17,582,2.13,0,0,2014
1292,Gremlica Oldřich,,39,Koalice TOP09 a KDU-ČSL,TOP 09,BEZPP,23,400,2.27,0,0,2014
1293,Greš Jozef,,79,Koalice TOP09 a KDU-ČSL,KDU-ČSL,KDU-ČSL,33,374,2.12,0,0,2014
1294,Hach Radek Mgr. et Mgr.,Mgr.,44,Koalice TOP09 a KDU-ČSL,KDU-ČSL,BEZPP,5,518,2.94,0,0,2014
1295,Haidová Martina,,19,"""OMMO - hlas pro občana""",OMMO,BEZPP,27,159,2.0300000000000002,0,0,2014
1296,Halaš Jiří,,42,DSSS-volím budouc.našich dětí,DSSS,DSSS,14,301,2.19,0,0,2014
1297,Hamříková Renata,,50,DSSS-volím budouc.našich dětí,DSSS,BEZPP,26,290,2.11,0,0,2014
1298,Händl Jan Ing.,Ing.,53,Severočeši Most,NK,BEZPP,25,4988,2.18,7,0,2014
1299,Harbichová Lenka,,38,"""OMMO - hlas pro občana""",OMMO,BEZPP,41,143,1.82,0,0,2014
1300,Hasman Jiří,,65,Občanská demokratická strana,ODS,ODS,12,954,2.5100000000000002,5,0,2014
1301,Hauserová Petra,,37,Sdružení Mostečané Mostu,NK,BEZPP,32,2872,2.18,22,0,2014
1302,Hauschild Radek,,40,Česká str.sociálně demokrat.,ČSSD,ČSSD,44,913,1.85,41,0,2014
1303,Havel Martin,,25,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,38,385,1.96,0,0,2014
1304,Havlová Jana,,56,DSSS-volím budouc.našich dětí,DSSS,BEZPP,28,291,2.12,0,0,2014
1305,Havlůj Aleš Ing.,Ing.,31,Občanská demokratická strana,ODS,ODS,6,904,2.38,7,0,2014
1306,Hawelka Jan Bc.,Bc.,26,Severočeši Most,NK,BEZPP,34,4906,2.14,16,0,2014
1307,Hejný Marian Ing.,Ing.,34,Koalice TOP09 a KDU-ČSL,TOP 09,BEZPP,16,417,2.37,0,0,2014
1308,Hek Jaromír,,64,Komunistická str.Čech a Moravy,KSČM,KSČM,44,1430,1.92,39,0,2014
1309,Hepnarová Svatava,,51,Občanská demokratická strana,ODS,BEZPP,23,780,2.05,20,0,2014
1310,Hodaňová Miroslava,,55,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,21,429,2.19,0,0,2014
1311,Hodek František,,24,Toryové,TOR,BEZPP,11,193,1.98,0,0,2014
1312,Hodek František,,43,Komunistická str.Čech a Moravy,KSČM,KSČM,21,1640,2.21,16,0,2014
1313,Hodek Marian,,39,"""OMMO - hlas pro občana""",OMMO,BEZPP,15,172,2.2,0,0,2014
1314,Hodek Pavel,,25,Komunistická str.Čech a Moravy,KSČM,BEZPP,27,1637,2.2,22,0,2014
1315,Hoffmann Karel,,51,"""OMMO - hlas pro občana""",OMMO,BEZPP,12,173,2.21,0,0,2014
1316,Hofmann Václav PhDr.,PhDr.,60,Občanská demokratická strana,ODS,ODS,2,1193,3.14,2,0,2014
1317,Holata Radek,,47,Česká str.sociálně demokrat.,ČSSD,ČSSD,34,1031,2.08,31,0,2014
1318,Holý Ľubomír,,48,Česká str.sociálně demokrat.,ČSSD,ČSSD,2,1314,2.66,1,0,2014
1319,Hortig František,,32,DSSS-volím budouc.našich dětí,DSSS,BEZPP,15,302,2.2,0,0,2014
1320,Horváthová Irena,,39,Mostečané Mostu,NK,BEZPP,17,37,26.61,0,0,2014
1321,Hostaša Pavel Ing.,Ing.,31,Koalice TOP09 a KDU-ČSL,TOP 09,BEZPP,26,404,2.29,0,0,2014
1322,Hostašová Michaela Bc.,Bc.,30,Koalice TOP09 a KDU-ČSL,TOP 09,BEZPP,14,399,2.27,0,0,2014
1323,Hošek Martin,,44,Komunistická str.Čech a Moravy,KSČM,KSČM,19,1686,2.27,14,0,2014
1324,Hotový Karel,,23,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,27,418,2.13,0,0,2014
1325,Houska Roman MUDr.,MUDr.,41,Občanská demokratická strana,ODS,BEZPP,9,1167,3.0700000000000003,3,0,2014
1326,Houšková Martina,,41,"""OMMO - hlas pro občana""",OMMO,BEZPP,36,158,2.02,0,0,2014
1327,Hrabal Dominik,,31,Toryové,TOR,BEZPP,31,173,1.77,0,0,2014
1328,Hrdinová Libuše Mgr.,Mgr.,47,Občanská demokratická strana,ODS,ODS,1,1224,3.22,3,1,2014
1329,Hrdinová Libuše,,23,Občanská demokratická strana,ODS,BEZPP,26,804,2.12,23,0,2014
1330,Hreha Miroslav,,63,ANO 2011,ANO,ANO,26,1785,2.18,20,0,2014
1331,Hrib Milan,,49,Sdružení Mostečané Mostu,NK,S.cz,10,3004,2.2800000000000002,10,1,2014
1332,Hrneček Jaroslav,,76,Komunistická str.Čech a Moravy,KSČM,KSČM,45,1367,1.84,40,0,2014
1333,Hromadová Marta Mgr.,Mgr.,70,Sdružení Mostečané Mostu,NK,BEZPP,26,2871,2.18,16,0,2014
1334,Hrubá Kateřina,,32,"SZ, NK za Most",Zelení,BEZPP,23,586,2.15,0,0,2014
1335,Hrubeš Jan Mgr.,Mgr.,34,"SZ, NK za Most",Zelení,Zelení,1,843,3.09,0,0,2014
1336,Hrvol Jaroslav Ing.,Ing.,29,Severočeši Most,NK,BEZPP,37,4905,2.14,19,0,2014
1337,Hrvol Marek Ing.,Ing.,26,Severočeši Most,ProKraj,BEZPP,8,5136,2.24,8,1,2014
1338,Hudský Marek Ing.,Ing.,39,Česká str.sociálně demokrat.,ČSSD,ČSSD,8,1161,2.35,6,0,2014
1339,Humpolec Josef,,66,"""OMMO - hlas pro občana""",OMMO,BEZPP,44,148,1.8900000000000001,0,0,2014
1340,Hvězdová Ivana Mgr.,Mgr.,51,ANO 2011,ANO,BEZPP,7,1973,2.41,1,0,2014
1341,Hýsek Michal,,29,DSSS-volím budouc.našich dětí,DSSS,BEZPP,22,291,2.12,0,0,2014
1342,Chejn Jan,,59,Sdružení Mostečané Mostu,NK,BEZPP,38,2829,2.15,28,0,2014
1343,Chytka Lubomír Dr. Ing.,Dr.,62,Severočeši Most,NK,BEZPP,15,5068,2.21,15,1,2014
1344,Iliev Živko Ing.,Ing.,55,ANO 2011,ANO,BEZPP,34,1793,2.19,28,0,2014
1345,Ilievová Vladimíra Ing.,Ing.,51,ANO 2011,ANO,BEZPP,3,2214,2.7,1,1,2014
1346,Ittner Jaroslav,,47,Občanská demokratická strana,ODS,BEZPP,15,821,2.16,12,0,2014
1347,Jahelková Jana,,64,Komunistická str.Čech a Moravy,KSČM,KSČM,37,1573,2.12,32,0,2014
1348,Jakš Zbyněk,,45,Severočeši Most,NK,BEZPP,24,5049,2.2,6,0,2014
1349,Jakš Zbyněk,,21,Severočeši Most,NK,BEZPP,45,4293,1.87,27,0,2014
1350,Jandera Lubomír Mgr.,Mgr.,38,Sdružení Mostečané Mostu,NK,BEZPP,39,2868,2.18,29,0,2014
1351,Jandová Lenka,,48,"""OMMO - hlas pro občana""",OMMO,BEZPP,10,177,2.2600000000000002,0,0,2014
1352,Janečková Karolína,,19,"""OMMO - hlas pro občana""",OMMO,BEZPP,31,160,2.04,0,0,2014
1353,Janíček Daniel Ing.,Ing.,35,Severočeši Most,NK,BEZPP,27,4971,2.17,9,0,2014
1354,Jarolímová Marie Mgr.,Mgr.,44,"SZ, NK za Most",NK,BEZPP,19,583,2.14,0,0,2014
1355,Jaroš Jiří,,53,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,36,401,2.04,0,0,2014
1356,Jarošová Zděnka,,53,"""OMMO - hlas pro občana""",OMMO,BEZPP,34,153,1.95,0,0,2014
1357,Jelínek Jiří,,44,Občanská demokratická strana,ODS,BEZPP,41,699,1.84,38,0,2014
1358,Jelínek Jiří,,28,Koalice TOP09 a KDU-ČSL,TOP 09,BEZPP,17,380,2.16,0,0,2014
1359,Jelínek Stanislav,,22,Komunistická str.Čech a Moravy,KSČM,KSČM,10,1681,2.2600000000000002,5,0,2014
1360,Jelínková Irena,,42,ANO 2011,ANO,BEZPP,39,1653,2.02,33,0,2014
1361,Jelínková Iveta,,45,Komunistická str.Čech a Moravy,KSČM,KSČM,12,1737,2.34,7,0,2014
1362,Jeníčková Hana JUDr.,JUDr.,65,Sdružení Mostečané Mostu,NK,S.cz,6,3053,2.32,6,1,2014
1363,Jeníková Lenka,,19,DSSS-volím budouc.našich dětí,DSSS,BEZPP,29,288,2.1,0,0,2014
1364,Jermakovová Kateřina,,40,Česká str.sociálně demokrat.,ČSSD,ČSSD,18,1087,2.2,15,0,2014
1365,Ježek Jiří,,64,Komunistická str.Čech a Moravy,KSČM,KSČM,13,1676,2.2600000000000002,8,0,2014
1366,Jírovec Václav,,65,Komunistická str.Čech a Moravy,KSČM,KSČM,4,1771,2.38,4,1,2014
1367,Johanis Martin,,37,DSSS-volím budouc.našich dětí,DSSS,BEZPP,31,292,2.13,0,0,2014
1368,Jochman František Ing.,Ing.,65,Komunistická str.Čech a Moravy,KSČM,KSČM,26,1624,2.19,21,0,2014
1369,Jochman Tomáš,,18,Toryové,TOR,BEZPP,12,199,2.04,0,0,2014
1370,Jung Zdeněk,,32,Komunistická str.Čech a Moravy,KSČM,KSČM,16,1673,2.25,11,0,2014
1371,Jungmann Martin,,45,Komunistická str.Čech a Moravy,KSČM,BEZPP,17,1658,2.23,12,0,2014
1372,Jungmannová Jana Mgr.,Mgr.,35,"SZ, NK za Most",NK,BEZPP,2,782,2.87,0,0,2014
1373,Juřina David,,38,"SZ, NK za Most",Zelení,BEZPP,12,675,2.47,0,0,2014
1374,Kadlec Igor,,60,Sdružení Mostečané Mostu,NK,BEZPP,30,2911,2.21,20,0,2014
1375,Kail Otto,,46,Koalice TOP09 a KDU-ČSL,TOP 09,BEZPP,28,375,2.13,0,0,2014
1376,Kailová Martina,,43,Koalice TOP09 a KDU-ČSL,TOP 09,BEZPP,43,330,1.87,0,0,2014
1377,Kalců Milan Mgr.,Mgr.,49,Toryové,TOR,BEZPP,9,332,3.41,0,0,2014
1378,Kapitán Tomáš,,18,"""OMMO - hlas pro občana""",OMMO,BEZPP,33,153,1.95,0,0,2014
1379,Karban Vítězslav Ing.,Ing.,49,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,18,430,2.19,0,0,2014
1380,Kasal Pavel MUDr.,MUDr.,49,Severočeši Most,NK,BEZPP,31,5158,2.25,13,0,2014
1381,Kasal Petr,,51,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,13,447,2.2800000000000002,0,0,2014
1382,Kašová Martina,,32,Komunistická str.Čech a Moravy,KSČM,BEZPP,14,1664,2.24,9,0,2014
1383,Kašpar Jiří Ing.,Ing.,64,Česká str.sociálně demokrat.,ČSSD,ČSSD,22,1103,2.23,19,0,2014
